"","num_critic_for_reviews","duration","gross","cast_total_facebook_likes","num_user_for_reviews","country","budget"
"349",454,114,91121452,20295,608,"UK",1.4e+07
"350",222,115,89253340,16967,323,"France",4.8e+07
"351",218,109,86208010,16179,285,"USA",3.5e+07
"352",176,118,85911262,4796,213,"USA",6.5e+07
"353",406,134,85707116,20411,701,"USA",6.8e+07
"354",148,100,84518155,2654,144,"USA",2e+07
"355",271,99,84263837,2323,291,"USA",6500000
"356",191,109,83906114,2357,189,"USA",4e+07
"357",153,92,83348920,19963,118,"USA",1.32e+08
"358",129,104,82389560,3627,147,"USA",1.7e+07
"359",371,118,78031620,27674,403,"USA",7e+07
"360",224,95,76137505,3697,174,"UK",5.5e+07
"361",245,101,72660029,16235,269,"USA",1e+08
"362",285,103,71519230,6807,244,"USA",9e+06
"363",119,81,66950483,47677,85,"USA",2.8e+07
"364",52,106,65182182,4830,38,"USA",2.4e+07
"365",314,150,65007045,26490,657,"UK",1.4e+08
"366",314,150,65007045,26489,657,"UK",1.4e+08
"367",121,85,64238770,18795,64,"Canada",4.2e+07
"368",61,170,59696176,775,174,"USA",2.2e+07
"369",536,99,59073773,15082,644,"USA",2.5e+07
"370",492,117,58607007,14161,630,"USA",1e+08
"371",492,117,58607007,14160,630,"USA",1e+08
"372",261,92,55942830,5178,423,"USA",7e+07
"373",196,116,54414716,30571,187,"USA",4.2e+07
"374",180,122,54235441,1484,185,"USA",2.2e+07
"375",58,84,52543632,2297,84,"USA",13200000
"376",364,128,52066000,3869,212,"UK",2e+07
"377",277,119,51178893,6089,110,"USA",5e+07
"378",183,89,50820940,5056,159,"USA",5e+06
"379",219,96,50807639,3151,122,"USA",6e+07
"380",313,105,50549107,1411,289,"USA",6e+07
"381",141,107,50461335,20466,132,"USA",1.1e+07
"382",156,95,50150619,19513,102,"USA",5e+07
"383",90,100,48637684,2800,42,"USA",12500000
"384",228,89,47553512,1367,210,"USA",5e+07
"385",276,141,47105085,30183,275,"USA",5e+07
"386",249,134,47034272,2281,190,"USA",4e+07
"387",173,117,46280507,49743,184,"USA",4e+07
"388",198,97,45089048,36064,260,"South Africa",2.5e+07
"389",275,102,44134898,20330,171,"USA",1.3e+07
"390",327,132,43568507,7081,346,"USA",6.6e+07
"391",303,136,42615685,28927,416,"USA",4e+07
"392",588,119,42335698,21668,1101,"USA",1.8e+07
"393",54,107,42019483,13904,33,"USA",3.6e+07
"394",320,131,39292022,52610,351,"USA",9e+07
"395",112,91,38916903,1921,149,"USA",1.3e+07
"396",201,94,38543473,1488,158,"USA",4e+07
"397",349,115,37877959,4896,252,"USA",1.5e+07
"398",151,124,36447959,6393,96,"USA",2.5e+07
"399",419,123,35887263,14100,388,"UK",1.5e+07
"400",156,103,34290142,4662,145,"USA",19800000
"401",175,111,33631221,3784,145,"USA",2.5e+07
"402",220,101,32453345,2161,155,"USA",5e+06
"403",534,117,32279955,15554,552,"USA",8500000
"404",270,83,31537320,1565,309,"USA",1e+06
"405",211,123,30688364,1286,211,"USA",2.8e+07
"406",242,118,30523568,5697,201,"USA",3e+07
"407",165,139,30513940,2060,104,"USA",3e+07
"408",50,115,30127963,525,64,"USA",1.5e+07
"409",159,110,28831145,3757,113,"USA",2.5e+07
"410",85,118,26761283,3197,99,"USA",2.6e+07
"411",164,94,26049082,1024,100,"USA",8e+06
"412",253,114,25977365,15428,207,"USA",2.8e+07
"413",548,165,25359200,673,836,"USA",4e+06
"414",161,102,25277561,5592,93,"USA",1.2e+07
"415",172,108,24984868,3033,152,"USA",1.5e+07
"416",98,104,23393765,18760,76,"USA",2e+07
"417",272,105,23219748,1099,308,"Canada",8e+07
"418",355,119,23014504,54031,462,"UK",1e+08
"419",91,121,21569041,3745,57,"USA",9e+06
"420",196,93,21197315,1410,211,"USA",5e+06
"421",177,100,20285518,25387,112,"France",2.8e+07
"422",308,92,19059018,3165,194,"Australia",6.5e+07
"423",156,99,18821279,1520,202,"USA",7e+07
"424",309,101,18656400,19673,195,"USA",5e+06
"425",9,106,17382982,2840,33,"USA",5e+06
"426",69,86,17314483,4073,48,"USA",4e+06
"427",291,122,17237244,22574,158,"UK",1.5e+07
"428",175,102,17176900,17098,154,"USA",9.5e+07
"429",137,89,15818967,2517,120,"USA",7e+06
"430",107,94,15155772,1673,48,"USA",1.8e+07
"431",533,100,14673301,1062,631,"USA",2e+06
"432",71,116,14612840,3110,37,"USA",7e+06
"433",325,106,14479776,12418,147,"USA",1e+07
"434",169,110,13998282,15044,374,"USA",1.6e+07
"435",339,102,13750556,49433,239,"USA",6.5e+07
"436",535,107,13092000,26495,731,"USA",3300000
"437",233,109,10499968,1458,212,"USA",3.5e+07
"438",49,98,10429707,2705,125,"USA",5e+06
"439",401,148,8093318,707,242,"USA",2e+07
"440",270,97,7574066,6322,96,"USA",1e+07
"441",293,112,6105175,12239,835,"USA",4.4e+07
"442",350,125,5749134,3979,180,"USA",2e+07
"444",183,111,4190530,1795,185,"Australia",22500000
"445",262,150,3958500,390,165,"UK",8200000
"446",149,106,3588432,18947,93,"USA",6e+06
"448",129,103,3093491,1283,37,"USA",5e+06
"449",149,92,2963012,14617,105,"UK",2.2e+07
"450",163,112,2445646,12897,99,"USA",5e+06
"451",208,122,2428883,2896,132,"USA",1.6e+07
"452",254,102,1821983,43810,261,"USA",3e+06
"453",12,99,830210,3382,56,"USA",5e+06
"458",31,104,143653,1281,10,"UK",4e+06
"460",65,100,129115,285,26,"China",2.5e+07
"461",106,120,106869,14492,39,"France",1.7e+07
"462",43,93,100240,28,11,"Denmark",1e+06
"463",56,97,52961,326,11,"Spain",8e+06
"464",44,105,37440,1986,60,"USA",5e+06
"465",6,93,35688,954,72,"USA",6e+05
"466",65,82,30084,11642,23,"USA",70000
"467",189,118,22451,22447,126,"USA",6e+07
"468",10,82,21199,0,10,"USA",5e+05
"469",70,106,20262,629,10,"Brazil",4e+06
"470",43,86,20200,12772,21,"USA",6e+06
"472",29,103,8691,3089,32,"USA",4500000
"473",18,80,5858,0,2,"USA",150000
"474",10,95,2468,2048,5,"USA",3e+05
"475",66,96,162,2802,38,"Thailand",9e+06
"560",502,146,424645577,49355,706,"USA",1.3e+08
"561",608,195,408992272,30426,1187,"USA",2e+08
"562",406,102,400736600,2582,904,"USA",1.5e+08
"563",306,98,368049635,11905,284,"USA",7.6e+07
"564",733,143,291021565,20495,2536,"USA",2.25e+08
"565",738,91,274084951,87,1885,"UK",1e+08
"566",376,104,268488329,14863,265,"USA",2e+08
"567",509,186,258355354,9152,951,"USA",2.25e+08
"568",525,130,234903076,73441,511,"USA",2.15e+08
"569",590,132,228756232,21411,1171,"USA",1.9e+08
"570",486,112,206360018,59803,532,"USA",1.7e+08
"571",654,123,202351611,32392,995,"USA",1.9e+08
"572",257,98,187165546,43286,195,"USA",1.35e+08
"573",270,123,159578352,4825,380,"USA",4.3e+07
"574",289,118,150368971,3425,301,"USA",3.7e+07
"575",538,138,150117807,83012,751,"USA",4e+07
"576",490,143,144812796,29770,753,"Australia",1.05e+08
"577",490,143,144812796,29769,753,"Australia",1.05e+08
"578",511,112,137387272,9049,807,"USA",2e+07
"579",275,120,134455175,5826,232,"USA",3.5e+07
"580",139,101,133668525,39269,255,"USA",8e+07
"581",440,138,132550960,23755,533,"USA",1.2e+08
"582",319,121,125069696,1261,420,"USA",4e+07
"583",351,122,122512052,31958,288,"USA",1.3e+08
"584",169,95,119793567,848,85,"USA",7.8e+07
"585",384,125,117698894,13312,629,"USA",7.5e+07
"586",606,240,116866727,46057,1138,"USA",1e+08
"587",304,132,116631310,20035,323,"USA",3e+07
"588",203,102,107515297,14552,113,"USA",1e+08
"589",491,134,107100855,16281,527,"USA",5.5e+07
"590",157,102,101978840,1018,162,"USA",1.5e+07
"591",575,131,101785482,19166,1106,"USA",1.9e+08
"592",418,107,101470202,38751,669,"USA",3.2e+07
"593",358,119,98895417,31782,698,"USA",7e+07
"594",216,128,95001343,16911,200,"USA",4e+07
"595",476,109,93050117,17689,814,"USA",1.15e+08
"596",450,150,89289910,45757,711,"USA",2.15e+08
"597",539,124,89021735,22004,892,"USA",1.2e+08
"598",318,106,83574831,2975,269,"USA",5e+06
"599",405,125,83299761,19809,306,"USA",3.5e+07
"600",166,96,83024900,17416,90,"USA",1.35e+08
"601",265,109,75573300,20148,172,"USA",6.1e+07
"602",339,131,73103784,18204,434,"USA",1.5e+08
"603",393,100,71588220,1949,304,"Canada",2e+07
"604",184,115,71346930,1554,160,"USA",2.8e+07
"605",125,105,71017784,914,59,"USA",1.05e+08
"606",56,123,70492685,5306,64,"USA",1.7e+07
"607",183,106,68558662,10882,204,"USA",9e+07
"608",412,101,67344392,15481,503,"USA",9.2e+07
"609",452,98,66359959,337,326,"USA",3.5e+07
"610",338,114,65171860,1766,205,"USA",1.95e+08
"611",361,85,64423650,3708,578,"USA",3e+06
"612",222,105,63910583,35694,173,"USA",2.8e+07
"613",326,114,61656849,12908,554,"USA",1.1e+08
"614",454,153,60962878,37321,620,"USA",4.6e+07
"615",349,100,60522097,14168,744,"USA",1.3e+08
"616",362,114,58229120,5095,515,"USA",9e+07
"617",83,89,57011847,3361,44,"USA",4e+07
"618",597,134,56667870,4251,695,"USA",2e+07
"619",118,91,55747724,3104,73,"USA",5.5e+07
"620",349,98,55682070,11946,304,"Germany",5e+07
"621",543,96,54239856,673,789,"USA",1.7e+07
"622",234,116,53215979,25220,205,"USA",8.4e+07
"623",24,100,52528330,3202,27,"USA",2.5e+07
"624",285,94,51872378,2812,266,"USA",1.3e+07
"625",335,129,49874933,13573,287,"USA",2.6e+07
"626",415,113,45996718,34738,264,"USA",6e+07
"627",246,125,44665963,5081,281,"USA",5.8e+07
"628",41,115,44456509,688,81,"Mexico",5e+06
"629",238,112,42919096,15800,122,"USA",1.5e+07
"630",302,127,41997790,17551,343,"USA",3.8e+07
"631",129,86,40041683,3421,107,"USA",2500000
"632",218,128,38297305,20965,324,"USA",1.75e+08
"633",322,121,37738400,39690,285,"USA",2.5e+07
"634",354,98,37707719,2376,233,"UK",1.2e+07
"635",113,87,36073232,1971,66,"USA",8e+07
"636",359,100,35266619,20051,371,"USA",3e+07
"637",282,92,34334256,1945,255,"USA",1.1e+07
"638",208,96,33592415,31549,210,"USA",1.3e+08
"639",415,98,33404871,1353,384,"USA",1.8e+07
"640",26,75,32230907,1385,30,"USA",2500000
"641",450,106,32154410,18469,274,"USA",3e+07
"642",153,88,32014289,34319,177,"USA",2e+07
"643",212,130,31165421,10247,457,"USA",6e+07
"644",168,105,30659817,1006,95,"USA",2.6e+07
"645",211,113,29802761,36009,115,"USA",4e+07
"646",83,106,28873374,2787,68,"USA",1e+07
"647",350,103,28751715,19168,378,"USA",2.8e+07
"648",336,104,27689474,2071,339,"USA",5e+06
"649",471,117,27296514,17738,340,"USA",5e+06
"650",393,123,26903709,37206,475,"UK",3.8e+07
"651",298,125,26616999,1300,347,"USA",4e+07
"652",427,109,26003149,278,401,"UK",2e+07
"653",168,93,25675765,2730,84,"USA",1.3e+07
"654",574,126,25556065,19359,748,"USA",2.3e+07
"655",286,115,25121291,15708,279,"USA",5e+07
"656",364,90,24475193,44265,314,"USA",3e+06
"657",260,100,22525921,32094,158,"USA",3e+07
"658",133,89,21784432,74181,108,"USA",3.5e+07
"659",52,96,21564616,8097,41,"USA",8500000
"660",276,103,21501098,8375,216,"USA",5e+06
"661",252,131,21483154,1985,236,"USA",1.9e+07
"662",203,100,19783777,39989,154,"USA",2.2e+07
"663",298,109,19692608,2073,134,"USA",3.5e+07
"664",231,124,19445217,3580,258,"USA",6e+07
"665",184,88,19316646,5706,95,"USA",3e+07
"666",150,107,18004225,3004,87,"USA",1.3e+07
"667",433,115,17613460,3798,274,"USA",1.2e+07
"668",224,118,17609982,28479,141,"USA",3.5e+07
"669",231,93,17536788,1183,142,"USA",8e+06
"670",336,138,16969390,27797,431,"USA",2.5e+07
"671",283,104,16168741,517,182,"USA",8e+06
"672",327,85,16097842,687,168,"USA",9e+05
"673",274,123,15294553,1595,391,"UK",1.2e+07
"674",161,93,15152879,46868,68,"France",5e+06
"675",217,111,13362308,39307,111,"USA",1.8e+07
"676",535,104,13214255,4082,313,"USA",1.1e+07
"677",376,107,12026670,1643,258,"USA",4.5e+07
"678",288,116,11326836,24134,231,"USA",2.2e+07
"679",217,118,10880926,4253,127,"USA",3e+07
"680",146,90,10494494,676,109,"USA",1.8e+07
"681",43,95,9123834,3322,33,"USA",1.5e+07
"682",65,110,8888355,3177,25,"USA",2e+07
"683",180,94,8828771,41059,352,"USA",6e+06
"684",51,88,8460990,6946,54,"USA",7e+07
"685",211,141,8324748,301,108,"UK",3.5e+07
"686",405,109,8114507,328,270,"USA",3e+06
"687",126,89,7764027,2061,119,"USA",1e+07
"688",260,107,7268659,2848,164,"Russia",2e+07
"689",285,100,7186670,2082,164,"USA",6e+06
"690",40,93,7017178,1373,17,"USA",17500000
"691",220,95,6851969,10040,178,"USA",2500000
"692",273,122,6594136,943,111,"Hong Kong",38600000
"693",346,106,6262942,0,312,"USA",9e+06
"694",149,91,4946250,198,80,"USA",1e+06
"695",488,126,4563029,12286,514,"South Korea",39200000
"696",186,116,4435083,39463,119,"Australia",1.8e+07
"697",195,104,4231500,822,162,"India",1e+06
"700",97,104,3447339,2667,79,"USA",1500000
"702",224,128,3254172,36337,105,"USA",2.8e+07
"703",10,113,2859955,2681,32,"USA",1200000
"704",280,172,2835886,456,124,"Italy",9200000
"707",393,101,2319187,5056,212,"UK",2e+07
"708",200,116,2268296,13180,119,"UK",6500000
"710",272,143,2175312,28176,346,"USA",5e+07
"711",230,120,1984743,11019,70,"USA",1.6e+07
"712",469,99,1702277,5074,235,"UK",1.2e+07
"713",440,90,778565,34779,475,"Denmark",4800000
"717",232,117,371897,13607,118,"USA",4e+06
"719",141,112,317125,25269,87,"Australia",1.6e+07
"720",31,91,287761,86,16,"New Zealand",1e+06
"721",279,90,258113,1528,135,"USA",1066167
"723",12,125,169379,221,3,"Mexico",1e+07
"724",26,120,100412,824,7,"Mexico",4e+06
"725",122,105,99462,1843,28,"France",3.3e+07
"727",124,131,85433,5954,131,"Italy",13500000
"729",193,88,59379,4729,52,"USA",2e+05
"731",162,99,49494,2862,87,"USA",250000
"732",91,144,41229,18442,41,"France",25500000
"733",120,98,23838,2271,160,"UK",7e+06
"734",72,99,22770,81,12,"Japan",5500000
"735",66,81,11835,81,7,"Iceland",1e+07
"736",50,89,11278,58,2,"Mexico",1300000
"737",28,100,4756,2450,32,"UK",2.5e+07
"739",60,85,4091,369,16,"Belgium",3.4e+07
"740",1,110,3830,5,1,"USA",1200000
"792",703,173,623279547,87697,1722,"USA",2.2e+08
"793",813,164,448130642,106759,2701,"USA",2.5e+08
"794",673,142,407999255,49942,1959,"USA",7.8e+07
"795",750,143,304360277,2039,1498,"UK",2e+08
"796",645,182,303001229,9152,1367,"USA",1.8e+08
"797",322,115,292298923,59177,329,"USA",1.2e+08
"798",599,153,262030663,28489,1225,"USA",2.3e+08
"799",488,93,237282182,5005,428,"USA",1.85e+08
"800",457,112,218628680,21773,623,"USA",5e+07
"801",211,93,216366733,2444,154,"USA",1.45e+08
"802",377,101,189412677,4451,345,"USA",1.65e+08
"803",538,150,182204440,25517,720,"USA",6.5e+07
"804",451,106,179020854,12572,341,"USA",2.25e+08
"805",765,165,162804648,40978,1193,"USA",1e+08
"806",233,88,161317423,25354,139,"USA",9.5e+07
"807",416,132,155111815,72881,710,"USA",1.7e+08
"808",488,158,148775460,46204,845,"USA",6.1e+07
"809",256,91,148313048,37142,168,"USA",8.5e+07
"810",358,98,139852971,16410,461,"France",4.5e+07
"811",375,109,138447667,19968,345,"USA",4.2e+07
"812",656,130,136019448,3133,695,"USA",44500000
"813",539,122,132088910,72115,692,"USA",2.1e+07
"814",775,124,126464904,24098,2326,"USA",1.3e+08
"815",298,115,126149655,36237,276,"USA",8.5e+07
