"num_critic_for_reviews","duration","director_facebook_likes","gross","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","budget","imdb_score","movie_facebook_likes"
250,118,208,150167630,26683,4,534,1.75e+08,5.8,0
536,95,0,356454367,2944,1,773,1.75e+08,8.3,118000
370,106,4000,362645141,32921,0,398,1.75e+08,7.8,65000
453,124,4000,312057433,48638,4,723,2e+08,7,18000
416,132,274,155111815,72881,0,710,1.7e+08,6.1,53000
401,97,171,241407328,15516,2,634,1.8e+08,7,89000
521,130,198,208543795,14363,0,620,1.7e+08,7.6,45000
10,109,596,563699,1982,3,15,3e+07,4.5,677
218,128,47,38297305,20965,2,324,1.75e+08,6.3,35000
576,136,94,259746958,36188,1,742,1.7e+08,7.8,55000
226,93,31,238371987,4628,2,173,1.65e+08,6.4,0
443,130,663,93417865,5046,2,497,1.9e+08,6.5,37000
384,102,38,222487711,2963,0,433,1.65e+08,7.9,41000
377,101,66,189412677,4451,1,345,1.65e+08,7.8,40000
188,100,0,665426,16264,0,444,1.65e+08,6.6,10000
286,120,776,102315545,3233,0,520,1.65e+08,5.5,67000
288,98,255,217387997,20453,0,492,1.65e+08,8.2,33000
280,109,84,150350192,1769,0,1676,2e+08,6.4,0
653,121,571,333130696,32438,3,1097,1.7e+08,8.1,96000
712,169,22000,187991439,31488,1,2725,1.65e+08,8.6,349000
642,148,22000,292568851,81115,0,2803,1.6e+08,8.8,175000
1,120,28,100412,699,0,13,2450000,8.2,0
187,106,357,144512310,45327,2,988,3.8e+07,6.7,14000
362,166,21000,127490802,13333,2,822,1.5e+08,7.8,23000
500,132,905,146405371,50983,3,698,1.6e+08,7.8,54000
389,137,508,281666058,81385,1,383,1.6e+08,6.6,38000
235,109,226,63143812,13388,0,238,1.5e+08,6.1,11000
231,98,249,60655503,92456,0,629,1.6e+08,5.6,0
218,113,33,76846624,80806,1,131,1.7e+08,6.4,30000
227,93,50,320706665,4705,2,326,1.6e+08,6.1,0
275,123,0,46978995,5505,0,781,1.6e+08,7.3,89000
474,126,230,89732035,38873,2,867,1.55e+08,6.6,82000
228,113,150,104383624,764,4,227,1.55e+08,6.3,11000
191,184,0,198539855,5401,0,1999,1.4e+08,6.1,0
396,144,0,318759914,2333,0,1782,1.5e+08,7.1,8000
248,206,0,34293771,24598,3,1390,1.55e+08,5.5,0
329,138,282,292000866,33433,3,1108,1.5e+08,7.5,0
295,157,179,289994397,53413,1,1896,1.5e+08,7.6,0
318,102,532,227946274,21584,0,590,1.5e+08,6.4,0
323,104,508,256386216,13076,0,1413,1.5e+08,7.2,11000
276,115,13000,206456431,57844,3,1361,1.5e+08,6.7,0
318,111,663,206435493,4764,0,626,1.5e+08,8,10000
478,128,22000,205343774,59558,0,2685,1.5e+08,8.3,15000
167,89,35,179982968,3285,0,119,1.5e+08,6.7,0
185,105,189,177243721,54039,2,209,1.5e+08,5.9,2000
350,119,151,179883016,40054,0,641,1.5e+08,6.7,0
245,129,0,139259759,1062,0,2121,1.5e+08,6.7,0
406,102,69,400736600,2582,0,904,1.5e+08,7.6,58000
275,138,0,281492479,534,0,2789,1.5e+08,7.2,0
486,112,230,206360018,59803,3,532,1.7e+08,7.1,63000
739,120,750,153629485,40025,0,1588,1.5e+08,8.1,191000
298,146,2000,133375846,16948,2,435,1.5e+08,6.7,0
516,115,0,181015141,60059,1,738,1.5e+08,7,63000
225,96,59,114053579,20007,0,178,1.5e+08,6.9,0
145,88,12,119420252,2217,0,90,1.5e+08,5.1,0
310,99,473,83640426,16184,0,253,1.5e+08,5.8,19000
526,113,13000,79711678,80849,7,479,1e+08,6.2,82000
465,131,188,195000874,21840,0,440,1.5e+08,7.4,47000
357,119,394,61937495,13071,0,432,1.5e+08,5.8,0
248,110,282,124051759,21175,2,239,1.8e+08,6.6,29000
194,91,58,126597121,6576,0,206,1.5e+08,6.2,0
284,90,90,165230261,21015,0,209,1.5e+08,7.3,20000
280,103,0,131564731,2857,0,1382,1.5e+08,4.2,18000
310,124,14000,133382309,34817,0,871,1.5e+08,6.9,0
339,131,776,73103784,18204,2,434,1.5e+08,6.4,33000
132,88,25,21379315,2652,0,112,1.5e+08,5.4,0
135,85,42,64459316,35161,0,122,1.49e+08,6.7,0
256,111,456,34964818,21393,4,186,1.5e+08,5.8,24000
196,92,50,111505642,5810,2,130,1.45e+08,6.9,11000
220,196,249,133228348,17944,2,1694,1.75e+08,7.2,0
211,93,35,216366733,2444,0,154,1.45e+08,6.9,17000
264,133,93,160201106,2538,0,1185,1.42e+08,6.1,0
464,116,176,118099659,2097,4,1211,1.44e+08,5.5,62000
208,88,188,190418803,14823,2,606,1.4e+08,6.1,2000
287,115,0,82161969,31523,1,505,1.5e+08,6.3,3000
210,95,5,143523463,36095,0,145,1.45e+08,7.2,24000
432,133,663,209364921,21768,3,512,1.45e+08,7.4,35000
256,97,52,103400692,20645,0,174,1.45e+08,7.3,25000
135,90,23,110332737,1997,1,258,1e+08,6.1,2000
190,154,380,111110575,11945,1,928,1.4e+08,7.7,0
314,150,0,65007045,26490,0,657,1.4e+08,6.1,51000
518,127,14000,257704099,39284,0,1559,1.5e+08,8,19000
291,121,0,403706375,40484,0,2012,1.39e+08,7.3,5000
292,102,255,176997107,23378,5,343,1.45e+08,7.9,46000
184,126,295,31141074,19769,4,273,1.4e+08,5.5,24000
145,121,357,31704416,2705,0,388,1.35e+08,5,0
451,215,0,107503316,2530,1,1229,1.3e+08,7.7,18000
267,138,0,132122995,1814,0,1445,1.37e+08,5.7,0
351,122,209,122512052,31958,6,288,1.3e+08,5.8,42000
163,124,42,68642452,13073,3,463,1.3e+08,6,0
166,106,6,32131830,15015,1,788,1.37e+08,6.4,0
510,124,394,176636816,19761,0,679,1.4e+08,6.9,46000
244,138,608,93926386,1205,1,684,1.5e+08,7.4,0
322,115,386,292298923,59177,3,329,1.2e+08,5.5,65000
156,100,750,63992328,62644,0,79,1.35e+08,5.9,0
354,135,255,134518390,5811,0,643,1.5e+08,6.8,0
252,117,14000,52792307,1950,0,106,1.4e+08,6.8,27000
556,156,0,183635922,57108,0,1188,1.35e+08,8.1,190000
166,96,13,83024900,17416,0,90,1.35e+08,6.5,13000
362,107,563,123207194,43291,0,337,1.35e+08,7.2,26000
153,92,35,83348920,19963,0,118,1.32e+08,6.7,11000
329,115,521,227137090,17369,0,820,1.1e+08,8.1,0
266,92,54,215395021,12754,0,360,1.3e+08,7.6,6000
517,117,235,180191634,5730,6,549,1.3e+08,7.4,61000
502,146,508,424645577,49355,1,706,1.3e+08,7.6,82000
322,115,386,292298923,59177,3,329,1.2e+08,5.5,65000
165,94,12,177343675,17883,0,214,1.35e+08,6.7,26000
401,116,14000,234277056,12758,0,2741,1.32e+08,6.5,0
94,147,0,138396624,12954,1,511,1.3e+08,6.6,0
246,90,50,149234747,5046,0,137,1.3e+08,6.7,16000
330,101,176,118311368,12406,1,514,1.1e+08,6.4,23000
434,138,0,101160529,32355,2,1240,1.25e+08,5.8,71000
440,107,14000,77564037,4631,1,447,1.35e+08,7.4,44000
274,142,0,249358727,33284,3,1504,1.3e+08,7.8,11000
245,165,1000,49551662,921,0,450,1.3e+08,6.6,0
349,100,0,60522097,14168,0,744,1.3e+08,4.9,37000
145,82,0,137748063,2945,1,241,127500000,6.5,0
154,98,189,113733726,53587,7,126,1.27e+08,6.2,11000
233,95,96,148337537,46120,3,187,1.3e+08,7.3,13000
258,159,0,317557891,13191,4,1571,1.25e+08,7.5,16000
208,96,124,33592415,31549,2,210,1.3e+08,5.6,20000
1,120,28,2246000,699,0,13,6e+06,8.2,0
271,143,563,305388685,48184,3,2113,1.4e+08,8.1,10000
403,123,508,337103873,81385,1,591,1.25e+08,6.7,52000
294,174,2000,217536138,16008,2,1966,1.25e+08,6.6,0
159,101,107,131536019,1031,0,99,1.03e+08,6.4,0
289,134,0,214948780,20952,4,1055,1.1e+08,7.5,0
342,132,681,209805005,55345,3,366,1.25e+08,7.3,54000
382,129,0,186830669,22403,2,412,1.25e+08,7.5,39000
344,106,255,163192114,18003,0,637,1.25e+08,5.8,15000
436,135,209,113165635,12175,0,504,1.25e+08,6.7,31000
175,110,2000,260031035,4146,0,482,1.23e+08,6,0
239,124,776,186739919,20553,0,1159,1.25e+08,6.4,19000
237,123,610,215397307,11930,0,1426,1.25e+08,6.1,0
231,130,249,182618434,2684,0,779,1.4e+08,6.4,0
262,92,167,131920333,15302,3,436,1.3e+08,5.6,0
552,127,0,124976634,2121,0,755,1.2e+08,8,122000
276,123,160,115802596,14017,1,681,1.1e+08,5.2,0
267,123,521,108521835,13752,0,297,1.2e+08,7.1,31000
102,107,368,100685880,4046,0,554,1.2e+08,4.8,0
775,124,0,126464904,24098,0,2326,1.3e+08,7,97000
71,77,50,64736114,2682,0,69,1.2e+08,5.4,459
476,109,662,93050117,17689,0,814,1.15e+08,6.6,61000
207,134,123,57637485,17159,0,666,1.05e+08,6.7,0
492,117,294,58607007,14161,0,630,1e+08,6.2,60000
284,135,0,43929341,902,0,414,1.2e+08,6.1,0
168,121,274,30212620,993,4,196,1.2e+08,5.3,0
283,117,446,76418654,12731,0,348,1.17e+08,6.3,11000
539,124,364,89021735,22004,0,892,1.2e+08,7,71000
359,140,0,380262555,44042,4,3286,1.13e+08,7.6,10000
284,142,0,310675583,42990,3,3516,1.15e+08,6.7,0
250,92,0,289907418,15013,0,593,1.15e+08,8.1,0
440,138,446,132550960,23755,1,533,1.2e+08,6.7,68000
257,98,16,187165546,43286,3,195,1.35e+08,7.3,28000
33,116,0,10014234,1609,1,36,7.8e+07,5.1,291
152,153,610,40911830,15046,0,454,1.15e+08,6,0
231,120,19,47952020,46719,2,134,1.15e+08,6.1,16000
348,101,473,190871240,2690,0,491,1.25e+08,5.9,62000
738,91,0,274084951,87,0,1885,1e+08,7.8,147000
369,100,128,56114221,1261,3,695,1.2e+08,4.3,41000
179,108,189,250863268,55486,2,444,1.1e+08,6.4,3000
358,114,62,155181732,16718,0,499,1.1e+08,6.1,52000
192,142,776,113330342,19454,1,1144,1.1e+08,7.1,4000
198,125,0,125531634,19359,0,627,1.1e+08,6.4,0
233,126,218,186336103,22722,2,798,1.2e+08,6.5,0
263,119,124,129995817,22622,0,258,1.1e+08,6.3,27000
267,170,17000,102608827,34582,0,799,1.1e+08,7.5,0
184,85,11,42776259,1173,1,121,1.12e+08,4.9,0
447,119,1000,98780042,13391,0,443,1.2e+08,5.8,14000
366,102,263,106369117,10583,0,523,1.1e+08,6.2,71000
172,103,67,142614158,692,3,153,1.1e+08,5.5,31000
104,76,6,50026353,13607,0,88,1.1e+08,5.4,304
181,120,124,66002193,12452,3,144,1.1e+08,5.8,12000
327,127,189,85463309,22254,1,426,1.1e+08,7.1,36000
125,105,67,71017784,914,3,59,1.05e+08,5.4,0
326,114,151,61656849,12908,4,554,1.1e+08,6.7,123000
354,129,235,134520804,13961,1,782,1.1e+08,7.2,0
297,171,0,313837577,22342,2,5060,9.3e+07,8.8,21000
188,120,153,24004159,3175,0,191,1.1e+08,5.8,0
174,165,0,58183966,14196,1,386,1.07e+08,6.8,0
109,82,34,100446895,2762,1,456,1.09e+08,3.8,946
225,115,295,144795350,12068,1,789,1.2e+08,7.1,0
239,194,0,47396698,19600,1,942,1.3e+08,7.2,0
228,97,63,104374107,2480,0,214,1.05e+08,7.1,5000
568,151,0,228430993,14831,1,1023,1.08e+08,8.1,153000
257,136,0,35799026,34839,1,899,1.26e+08,6.9,0
62,104,23,6712451,3133,0,89,9e+07,4.4,53
175,127,57,101643008,29069,1,498,9e+07,6.5,0
265,171,0,187670866,6521,0,2368,1.03e+08,8.5,21000
252,145,14000,132014112,12546,0,1331,1.02e+08,7.7,0
232,174,0,261970615,35672,1,858,1e+08,7.4,0
400,144,258,167007184,9125,1,2301,1.5e+08,8,0
230,119,13000,180011740,2776,0,1368,1e+08,5.7,0
357,140,0,97030725,64599,1,585,1e+08,7,0
300,176,0,130127620,20354,0,458,1e+08,7.8,0
267,106,12000,65452312,19906,1,285,1e+08,6.4,0
180,98,80,148383780,24082,10,152,1e+08,5.5,0
265,116,285,119219978,20233,2,316,1e+08,6.7,16000
765,165,16000,162804648,40978,1,1193,1e+08,8.5,199000
141,78,10,89296573,2039,1,297,1e+08,7.3,0
383,103,165,85017401,57881,3,474,9.2e+07,6.7,108000
193,131,226,173005002,13679,0,692,1e+08,6.9,0
170,104,14,75030163,4487,0,1690,1e+08,5.1,0
333,101,0,77222184,1738,0,388,1e+08,6.8,11000
256,111,456,34964818,21393,4,186,1.5e+08,5.8,24000
203,102,77,107515297,14552,2,113,1e+08,6.7,17000
321,103,207,67631157,55175,0,374,1e+08,6,25000
166,143,380,57366262,33160,0,657,1e+08,8,14000
606,240,17000,116866727,46057,3,1138,1e+08,8.2,138000
511,172,670,27098580,22686,5,828,1.02e+08,7.5,124000
188,101,0,55673333,4286,1,160,8e+07,7,16000
212,87,26,40198710,3144,0,660,1e+08,3.3,0
245,101,420,72660029,16235,0,269,1e+08,6,21000
127,95,63,38120554,26940,0,217,1.4e+08,7.1,0
167,102,52,49392095,10552,1,224,1e+08,5.4,0
320,131,385,39292022,52610,15,351,9e+07,6.1,56000
163,114,19,28772222,3962,1,163,1.05e+08,5.3,37000
78,94,6,17010646,1195,0,239,8.4e+07,2.2,881
289,122,2000,24985612,28328,0,161,1e+08,7,27000
66,95,31,4411102,6161,1,164,1e+08,3.8,416
266,115,521,35024475,13761,1,261,1e+08,6.9,0
208,88,20,130174897,309,0,155,9.9e+07,7.2,33000
202,130,208,202007640,15972,5,890,9.8e+07,6.3,0
233,216,17000,77679638,47657,3,1166,1e+08,7.5,0
136,146,611,9213,23240,2,130,9.4e+07,7.6,13000
154,85,9,58867694,25590,0,112,1e+08,6.8,0
169,93,0,59475623,13748,1,407,9e+07,5.2,0
200,152,0,108638745,4270,0,1103,9.2e+07,7.7,10000
255,85,116,86897182,9271,0,177,9.5e+07,6.2,18000
221,146,127,95328937,4555,4,293,1e+08,4.3,0
82,89,10,50802661,3372,1,139,9.5e+07,6.9,0
233,88,20,161317423,25354,0,139,9.5e+07,6.6,14000
343,105,0,201148159,4671,1,322,9.5e+07,7,56000
308,135,0,43982842,2370,1,593,6.5e+07,6.7,16000
301,100,475,380838870,5641,0,866,9.4e+07,8.2,11000
328,192,0,377019252,6434,2,3189,9.4e+07,8.9,16000
294,172,0,340478898,23052,1,2417,9.4e+07,8.7,10000
175,102,44,17176900,17098,4,154,9.5e+07,5.5,16000
199,100,165,131144183,12150,1,824,1.15e+08,5.7,0
355,119,0,23014504,54031,1,462,1e+08,6.3,37000
198,92,394,181166115,2574,0,1236,9.3e+07,5.9,0
529,105,81,176740650,13118,0,646,9.3e+07,7.6,47000
198,107,70,71148699,1614,0,125,9e+07,6.6,0
412,101,212,67344392,15481,2,503,9.2e+07,5.3,66000
106,137,102,22406362,5780,0,267,1.07e+08,6,701
283,115,663,261437578,1901,0,815,9.2e+07,8,0
217,118,0,88761720,14024,0,419,9.5e+07,5.9,9000
316,98,12000,81557479,25780,1,326,1e+08,6.8,18000
127,90,420,226138454,664,2,394,9e+07,6.6,0
185,130,0,155370362,12890,0,683,1e+08,6.6,0
191,90,97,124870275,1227,1,156,1e+08,7,0
188,94,107,196573705,1258,0,132,9e+07,7,0
362,114,0,58229120,5095,1,515,9e+07,7.3,70000
181,94,368,125305545,15419,0,643,9.2e+07,5.5,0
352,151,17000,132373442,45648,0,2054,9e+07,8.5,29000
308,121,0,110416702,23484,3,577,9.2e+07,7,0
517,158,21000,102515793,20388,1,632,9e+07,7.8,54000
415,128,0,209019489,23996,3,621,9e+07,7.6,20000
1,141,335,2246000,13379,2,1,8.5e+07,6.1,0
146,95,21,84037039,15237,0,289,1.2e+08,6.8,0
70,92,12,85884815,38450,0,53,9e+07,5,0
269,121,0,83077470,14165,0,440,7.5e+07,7.1,0
198,113,221,100018837,13446,0,380,9e+07,5.5,0
253,106,0,78747585,35367,0,342,8.8e+07,5.6,39000
281,146,14000,78616689,6217,0,2153,1e+08,7.1,11000
122,88,50,75817994,2622,0,179,9e+07,4.9,988
180,119,719,73209340,2356,0,628,9.5e+07,5.7,0
227,128,521,72515360,2100,1,411,8e+07,6.4,0
183,106,87,68558662,10882,0,204,9e+07,5.9,28000
157,117,101,65653758,33154,1,316,9.5e+07,5.5,0
196,129,209,64685359,23031,6,139,9e+07,6.9,15000
142,114,12000,26871,12499,2,361,9.2e+07,7,0
181,114,0,60874615,4902,0,949,9e+07,5.6,0
240,96,107,143618384,12071,0,186,9e+07,7,19000
136,138,0,35168677,15149,1,278,1e+08,6.7,0
369,100,128,56114221,1261,3,695,1.2e+08,4.3,41000
201,144,2000,61644321,2523,0,529,8.8e+07,8,0
47,110,96,190562,2728,0,24,9e+07,4.4,788
175,140,378,120147445,13808,0,455,8.7e+07,7.3,0
187,106,357,144512310,45327,2,988,3.8e+07,6.7,14000
221,143,0,233630478,15838,1,1051,9e+07,7.7,23000
206,108,750,197992827,70996,0,548,1e+08,6.5,0
239,108,521,176049130,14161,1,806,7.5e+07,7.8,0
186,116,0,183405771,13028,4,845,8.5e+07,7.8,0
228,110,545,20315324,27694,8,254,7.5e+07,5.8,19000
256,91,266,148313048,37142,2,168,8.5e+07,7.1,28000
222,107,36,127706877,662,2,399,8.5e+07,7.1,0
298,115,79,126149655,36237,1,276,8.5e+07,6.8,19000
84,100,36,66941559,4182,1,77,8.5e+07,4.8,372
236,104,420,78009155,3768,5,194,7.5e+07,6.2,0
157,138,278,63224849,17423,3,483,8.5e+07,6.9,19000
187,120,278,112703470,15226,2,214,8.5e+07,6.6,0
238,122,0,117144465,43499,3,288,8.5e+07,6.9,0
107,83,28,84303558,6081,1,100,8.5e+07,6.2,863
459,139,168,150832203,22226,2,713,8.5e+07,6.7,49000
187,131,218,51396781,5103,1,662,6.8e+07,7.6,0
151,104,532,47592825,16930,1,255,8.5e+07,6.7,0
229,145,252,57010853,2380,1,548,8.5e+07,7.3,0
158,104,681,62494975,1235,5,378,8.5e+07,6,0
190,97,6,46440491,2707,1,78,1e+08,7.1,0
135,108,99,40048332,1460,1,339,8.5e+07,5.5,941
382,106,763,64933670,11454,1,208,8.5e+07,5.6,18000
393,112,1000,31494270,12687,0,522,6e+07,7.5,36000
149,135,36,31111260,1439,0,466,6e+07,5.4,0
94,109,88,123307945,2818,1,171,6.5e+07,4.3,374
138,86,67,153288182,6355,3,521,8.4e+07,4.9,0
432,95,38,13401683,578,0,588,3.5e+07,7.1,46000
173,107,153,137340146,12700,1,685,7e+07,6.4,7000
91,82,62,43575716,3326,0,63,8.5e+07,4.3,0
238,88,218,80170146,21863,0,488,8.5e+07,6.1,0
345,120,0,75754670,3632,0,342,8.5e+07,7,3000
377,162,21000,33048353,36928,0,589,6.5e+07,7.7,12000
170,123,55,34543701,5839,1,289,8.2e+07,5.9,0
191,101,293,242589580,21276,1,604,8.1e+07,6.7,0
424,113,13000,102981571,46355,9,741,8e+07,6.5,57000
673,142,378,407999255,49942,0,1959,7.8e+07,7.3,140000
383,102,480,254455986,16143,0,402,8e+07,6.5,56000
166,83,12,155019340,22813,1,250,8e+07,6.8,0
180,85,255,145771527,3112,0,367,8e+07,7.2,0
120,97,56,82506325,23907,0,102,1e+08,6.4,0
234,116,23,53215979,25220,7,205,8.4e+07,6.7,22000
134,113,88,158115031,13693,11,316,8.2e+07,6.4,0
91,87,31,133103929,4073,0,56,7.5e+07,4.4,0
139,101,221,133668525,39269,4,255,8e+07,5.4,14000
265,110,88,130313314,44798,1,380,8e+07,6.5,0
145,128,278,124590960,22679,1,402,8e+07,6.7,0
490,138,17000,127968405,29585,0,964,8e+07,8.1,53000
141,88,91,120136047,9913,2,124,8e+07,5.6,0
163,91,77,128200012,1804,1,269,7.5e+07,6.3,0
144,99,163,109993847,12831,0,116,8e+07,6.1,0
226,117,0,104054514,16828,0,1009,8e+07,7.7,0
204,117,221,103028109,16325,1,203,8e+07,6.4,19000
215,118,154,101111837,5637,3,318,8e+07,6.6,0
198,154,333,95632614,61110,3,674,7.9e+07,7.2,0
325,118,117,94822707,44797,0,560,8e+07,6.9,20000
147,93,189,82226474,1267,0,424,6.5e+07,5.6,0
276,104,301,79363785,22194,0,698,8e+07,5.5,0
406,134,452,85707116,20411,4,701,6.8e+07,7.6,82000
143,80,40,100169068,4394,0,100,8e+07,4.6,0
106,83,21,73215310,14261,0,216,8e+07,7,4000
178,102,153,80360866,5392,1,127,8e+07,5.2,0
209,129,438,65948711,20056,1,363,8e+07,6.6,0
152,89,266,169692572,26839,0,97,8e+07,6.7,16000
124,96,25,56684819,1919,0,615,8e+07,5.9,3000
166,99,57,69772969,25942,4,543,8e+07,6.5,0
137,129,258,45356386,2864,1,244,7.5e+07,5.9,951
87,90,65,39442871,25190,0,237,8e+07,5.3,0
233,118,0,37899638,27114,2,492,8.8e+07,5.9,0
63,81,92,4074023,54,0,3,1.8e+07,6.4,257
258,89,84,38542418,18132,5,252,8e+07,6.3,0
162,145,79,34566746,1825,1,315,8e+07,7.3,0
113,87,43,36073232,1971,0,66,8e+07,5.2,0
174,119,64,21471685,971,0,1308,4.4e+07,2.4,0
101,91,287,20950820,5593,4,160,8e+07,5.7,665
205,118,252,19673424,619,4,232,8e+07,5.8,0
123,116,503,19480739,43887,0,457,8e+07,5.6,0
202,106,42,27356090,16922,0,117,9e+07,6,21000
145,106,14,17473245,2,1,348,7e+07,5.7,995
101,94,0,15131330,683,0,64,8.6e+07,6,941
113,104,63,19406406,152,0,42,4e+07,7.8,0
113,102,0,1891821,1890,0,301,5.2e+07,4.2,785
272,105,545,23219748,1099,0,308,8e+07,5.6,20000
3,89,0,900926,370,0,1,8e+06,4.4,138
205,135,2000,170708996,2827,0,1171,5.8e+07,8.2,29000
178,94,62,103812241,27842,3,133,7.9e+07,5.8,0
169,95,18,119793567,848,0,85,7.8e+07,6.5,15000
210,124,420,92930005,35867,0,764,7.8e+07,7.2,0
140,136,394,67286731,36925,1,345,1e+08,6.7,0
156,91,221,74158157,27405,2,264,7.9e+07,3.4,0
150,107,309,127083765,25296,5,370,7.6e+07,5.9,0
119,108,54,1339152,30230,1,64,81200000,7.8,31000
232,99,101,15071514,2323,2,273,8e+07,5.9,0
49,92,5,26000610,28050,0,197,7.6e+07,4.1,413
165,87,11,323505540,4782,0,155,7.5e+07,6.8,36000
202,110,45,66462600,4714,3,786,7.8e+07,5.8,0
306,98,275,368049635,11905,0,284,7.6e+07,7.5,56000
181,86,35,193136719,1777,0,385,7.5e+07,6.9,0
372,109,0,35286428,16479,0,1206,7.6e+07,7.9,17000
290,104,0,157299717,21397,0,1401,7.5e+07,7.4,0
316,110,335,134568845,25763,0,713,7.5e+07,6.7,0
164,115,107,195329763,1815,0,253,8e+07,6.9,0
147,99,88,120776832,12952,2,456,7.5e+07,6.8,11000
219,117,163,118823091,1673,9,401,7.5e+07,6.7,0
167,125,212,41814863,1970,0,308,5e+07,5.1,893
384,125,255,117698894,13312,6,629,7.5e+07,7.3,105000
179,102,221,162001186,28497,4,311,8e+07,6,12000
151,128,14000,77032279,16199,0,596,6e+07,7.3,16000
